trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
61,0,61,0,142.57106119999662,,142.5419185999781,5,142.57106119999662,142.57106119999662,0.011462599970400333,144.37561370013282,[0.266],[-0.336],[1],[0],[0],[1.822369100060314],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
62,0,62,0,144.406583199976,,144.37801180011593,5,144.406583199976,144.406583199976,0.014410800067707896,146.06097280001268,[0.062],[-0.126],[1],[0],[0],[1.6685711001046002],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
63,0,63,0,146.0917211000342,,146.06314789992757,5,146.0917211000342,146.0917211000342,0.010736800031736493,147.8294826000929,[-0.412],[0.18],[1],[0],[0],[1.7555868001654744],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
64,0,64,0,147.87708360003307,,147.83170070010237,10,147.87708360003307,147.87708360003307,0.024271199945360422,149.86470849998295,[0.442],[-0.122],[1],[0],[0],[2.008745800005272],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
65,0,65,0,149.89587499992922,,149.8669130001217,5,149.89587499992922,149.89587499992922,0.013771699974313378,151.56708990014158,[-0.146],[0.238],[1],[0],[0],[1.6863309000618756],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
66,0,66,0,151.61453599995002,,151.56924460013397,10,151.61453599995002,151.61453599995002,0.024420300032943487,153.21831120015122,[0.468],[0.174],[1],[0],[0],[1.6246228001546115],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
67,0,67,0,153.2491973999422,,153.2205906000454,5,153.2491973999422,153.2491973999422,0.010646899929270148,155.12109149992466,[-0.406],[-0.022],[1],[0],[0],[1.8897893000394106],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
68,0,68,0,155.1518944001291,,155.12326110014692,5,155.1518944001291,155.1518944001291,0.011034899856895208,157.54018960008398,[0.47],[-0.192],[1],[0],[0],[2.4058232998941094],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
69,0,69,0,157.5709049999714,,157.5423856000416,5,157.5709049999714,157.5709049999714,0.011027500033378601,159.20884889992885,[0.162],[0.162],[1],[0],[0],[1.655415500048548],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
70,0,70,0,159.239393300144,,159.2110498000402,5,159.239393300144,159.239393300144,0.011080099968239665,161.5611399000045,[-0.382],[-0.1],[1],[0],[0],[2.338986599817872],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
71,0,71,0,161.59151170006953,,161.56535809999332,5,161.59151170006953,161.59151170006953,0.01724419998936355,163.8976718999911,[0.248],[0.206],[1],[0],[0],[2.3156491999980062],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
72,0,72,0,163.92781969998032,,163.9000771001447,5,163.92781969998032,163.92781969998032,0.01568130007945001,166.11597310006618,[0.262],[-0.418],[1],[0],[0],[2.200213700067252],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
73,0,73,0,166.17987859994173,,166.1205907999538,10,166.17987859994173,166.17987859994173,0.032403600169345737,168.70236500003375,[-0.438],[0.394],[1],[0],[0],[2.5498587999027222],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
74,0,74,0,168.75000020000152,,168.70468030008487,10,168.75000020000152,168.75000020000152,0.022403100039809942,170.7881187000312,[-0.116],[-0.08],[1],[0],[0],[2.060778599930927],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
75,0,75,0,170.83541940012947,,170.79029499995522,10,170.83541940012947,170.83541940012947,0.022609499981626868,172.43901040009223,[0.132],[-0.37],[1],[0],[0],[1.626101499889046],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
76,0,76,0,172.4704982000403,,172.4411826999858,5,172.4704982000403,172.4704982000403,0.010923199821263552,173.94152839994058,[-0.108],[-0.256],[1],[0],[0],[1.489414099836722],['target'],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
77,0,77,0,173.98931570001878,,173.94369230000302,10,173.98931570001878,173.98931570001878,0.02199409995228052,175.25938419997692,[-0.446],[-0.13],[1],[0],[0],[1.293719399953261],[],579803,001,2024-10-01_23h36.53.055,VisualSearchTask,2024.1.5,None,2024-10-01 23h36.57.707411 +0530,
